id;product_type_name;quiz_tree_code;attributes
1;Приобретенная долговая ценная бумага;securities;"{""Тип_ID (ISIN/ГРН)"":""String"",""ID_ISIN или ID_ГРН ценной бумаги"":""String"",""Цена в % от номинала"":""String"",""Цена приобретения ценной бумаги"":""String"",""Дата приобретения ценной бумаги"":""String"",""Дополнительная информация"":""String""}"
2;Приобретенная долговая ценная бумага серой зоны;gray_zone;"{""Тип_ID (ISIN/ГРН)"":""String"",""ID_ISIN или ID_ГРН ценной бумаги"":""String"",""Цена в % от номинала"":""String"",""Цена приобретения ценной бумаги"":""String"",""Дата приобретения ценной бумаги"":""String"",""Дополнительная информация"":""String""}"
